x,y,z,cluster
4.2622,1.9805,2.2968,Alpha
3.0946,2.8052,3.0933,Alpha
4.0555,1.795,0.9678,Alpha
7.3708,2.8266,3.0321,Alpha
4.0273,2.6249,2.9618,Alpha
2.8107,1.8357,2.6745,Alpha
1.0579,1.9522,3.2475,Alpha
4.7914,3.427,2.2872,Alpha
2.2928,2.1874,1.594,Alpha
4.0331,1.6721,2.8072,Alpha
2.1388,3.3944,4.0602,Alpha
1.0921,4.5607,3.7503,Alpha
2.5644,2.2571,1.7862,Alpha
4.7132,3.9923,3.283,Alpha
3.9515,3.2694,3.48,Alpha
3.3728,4.438,2.7416,Alpha
3.7874,1.3307,4.0816,Alpha
4.5815,2.2671,2.2925,Alpha
1.6401,3.4521,4.4105,Alpha
4.6521,2.7574,3.0314,Alpha
3.3035,1.7378,4.0544,Alpha
0.9191,3.9297,3.5365,Alpha
5.2378,3.6548,2.7527,Alpha
5.2608,2.4393,2.6141,Alpha
4.6559,2.426,2.8813,Alpha
4.9883,2.8374,3.3254,Alpha
2.7006,3.4214,2.1014,Alpha
2.3661,1.7046,2.6137,Alpha
2.8946,2.6745,1.3971,Alpha
2.8148,4.4642,2.6649,Alpha
4.9664,2.9727,1.9788,Alpha
3.7252,3.9596,4.0561,Alpha
1.5685,5.2239,3.7181,Alpha
5.0506,2.169,2.5411,Alpha
3.7336,3.5823,3.3359,Alpha
4.6939,2.3012,4.0326,Alpha
4.1942,2.1643,2.1003,Alpha
2.869,2.5127,4.1619,Alpha
2.7983,3.534,4.7471,Alpha
2.7679,3.2614,4.0346,Alpha
6.6477,4.0863,3.9571,Alpha
3.406,4.5421,5.2712,Alpha
5.3396,3.111,3.0921,Alpha
4.6467,3.2533,2.2972,Alpha
4.8778,1.8619,3.7095,Alpha
1.2219,2.73,3.9707,Alpha
5.2128,3.0577,3.0218,Alpha
2.5884,-0.1414,1.9865,Alpha
5.1654,-0.2754,4.8865,Alpha
4.4413,2.2838,1.521,Alpha
5.8383,3.8715,1.0969,Alpha
4.4838,3.634,3.2357,Alpha
3.4464,4.9796,3.8653,Alpha
4.8464,4.2224,1.82,Alpha
5.678,3.0767,3.4072,Alpha
5.3325,3.6911,1.6898,Alpha
3.6808,1.2891,1.1958,Alpha
3.5374,2.9107,3.365,Alpha
3.4164,3.8666,3.2893,Alpha
3.4242,2.3913,4.5135,Alpha
5.4805,0.389,1.9803,Alpha
4.6829,2.6614,2.7354,Alpha
3.7918,6.0703,1.6231,Alpha
4.2592,3.36,3.093,Alpha
4.2194,3.0774,0.8702,Alpha
4.9334,4.0808,3.2095,Alpha
4.2213,3.909,1.4234,Alpha
4.9299,3.4942,3.0199,Alpha
5.0001,2.8369,3.3468,Alpha
2.547,3.8515,2.9849,Alpha
6.6368,4.1536,3.571,Alpha
3.5221,2.3389,4.0518,Alpha
2.1215,3.308,4.0217,Alpha
4.9413,2.4023,3.1019,Alpha
3.9468,3.7646,3.5692,Alpha
2.823,3.0673,4.8531,Alpha
2.7018,3.5167,2.9965,Alpha
4.5866,2.7111,2.6506,Alpha
2.722,3.6947,3.5277,Alpha
2.0667,4.2007,1.5473,Alpha
4.8356,4.0496,3.3393,Alpha
4.9547,2.5166,3.7857,Alpha
2.4205,2.8806,2.5312,Alpha
4.2911,4.676,0.2923,Alpha
1.9279,2.9191,1.979,Alpha
3.7601,2.8732,3.0308,Alpha
1.8948,-0.1005,4.8691,Alpha
5.0703,3.2334,4.4314,Alpha
2.9463,2.8847,2.7185,Alpha
4.1219,1.915,2.0285,Alpha
4.6664,3.2498,3.3104,Alpha
5.2436,5.0245,3.1544,Alpha
5.1093,2.9723,2.492,Alpha
4.8191,2.9413,2.8097,Alpha
5.4628,1.028,3.5747,Alpha
5.7188,2.8438,4.1842,Alpha
3.9675,2.3219,3.7164,Alpha
5.207,3.4448,3.4948,Alpha
3.4969,3.566,2.964,Alpha
3.6508,4.3566,2.4596,Alpha
4.7909,2.6794,1.7998,Alpha
3.1335,3.0705,3.5391,Alpha
4.6101,3.0582,3.9096,Alpha
4.0407,2.5345,3.4208,Alpha
5.8054,2.1401,3.3881,Alpha
4.6501,3.6508,3.4268,Alpha
3.8135,4.4617,2.712,Alpha
4.3062,2.9658,1.0818,Alpha
5.6636,5.8493,6.7555,Alpha
1.3796,4.5819,2.2701,Alpha
4.3808,3.2617,2.127,Alpha
5.5439,3.4401,4.1992,Alpha
3.302,4.2473,2.4431,Alpha
4.1856,2.3841,5.4788,Alpha
6.0487,2.43,3.193,Alpha
2.8171,0.3505,3.6442,Alpha
5.1063,1.5136,3.0746,Alpha
4.068,0.8397,2.8882,Alpha
5.6832,3.8994,4.3264,Alpha
4.4749,4.5884,3.1225,Alpha
2.9591,5.3378,1.7483,Alpha
1.746,1.9334,3.0569,Alpha
3.8298,1.8886,3.8805,Alpha
2.324,1.6662,2.2177,Alpha
6.0325,3.045,3.0618,Alpha
1.8027,3.8456,0.3758,Alpha
5.5042,5.6271,1.2152,Alpha
5.5059,4.5483,5.22,Alpha
6.2489,2.2423,3.6444,Alpha
3.1951,4.3718,1.765,Alpha
4.5307,4.0526,2.993,Alpha
4.9598,1.9363,3.8449,Alpha
4.557,5.0533,0.2381,Alpha
3.4695,3.5737,2.713,Alpha
4.2562,3.4579,3.3789,Alpha
3.6563,2.3787,3.91,Alpha
6.2219,4.619,4.7673,Alpha
4.7789,1.0175,3.1755,Alpha
3.6653,3.2286,2.6793,Alpha
2.48,1.3616,3.1342,Alpha
0.6944,1.7225,3.3012,Alpha
4.0078,2.7641,2.9404,Alpha
4.0661,4.1777,3.195,Alpha
2.6008,2.7793,4.2082,Alpha
0.938,1.4289,2.7563,Alpha
3.7531,1.3827,2.8023,Alpha
2.9354,2.0115,3.7334,Alpha
3.1669,4.7601,3.7778,Alpha
1.8011,4.4018,1.0186,Alpha
3.4194,2.1749,2.247,Alpha
3.4964,1.6223,4.0886,Alpha
4.912,4.3078,2.7627,Alpha
6.186,3.3665,3.9452,Alpha
4.4232,1.7069,5.0906,Alpha
3.3052,3.3787,3.6001,Alpha
5.3486,4.3324,4.6266,Alpha
4.8438,3.985,3.3504,Alpha
3.216,1.5812,3.9966,Alpha
2.6491,1.7288,5.0863,Alpha
5.2093,2.2667,4.1673,Alpha
3.5886,3.0354,2.4935,Alpha
2.2545,-0.0796,2.4253,Alpha
3.6845,1.3079,2.5841,Alpha
5.121,2.3672,1.7949,Alpha
2.3964,3.1096,3.9563,Alpha
3.0177,4.5379,3.0011,Alpha
5.5409,3.2584,1.6312,Alpha
4.5222,3.881,2.0891,Alpha
2.0586,2.2168,5.8099,Alpha
3.8109,3.4244,1.7555,Alpha
3.1515,0.4951,4.06,Alpha
3.9997,4.6727,1.9063,Alpha
4.1685,4.2537,1.3109,Alpha
4.1508,3.9084,4.0486,Alpha
5.0769,2.8253,2.7825,Alpha
1.7503,4.474,4.2671,Alpha
3.2943,3.9734,2.5377,Alpha
5.33,2.4091,0.8019,Alpha
4.3331,1.0117,3.5737,Alpha
3.0832,3.1931,2.5206,Alpha
6.6277,2.4016,3.3958,Alpha
3.818,2.0793,3.9448,Alpha
1.7165,3.9798,3.1178,Alpha
4.1278,5.2355,3.2774,Alpha
4.4903,1.9,0.9804,Alpha
2.7532,3.0554,1.7408,Alpha
4.7741,3.8742,4.8929,Alpha
2.9082,1.8067,3.0481,Alpha
5.2713,0.9292,3.2239,Alpha
1.8955,6.5172,2.0854,Alpha
4.1639,3.2933,3.3003,Alpha
3.6907,4.6859,2.1571,Alpha
4.421,-0.1739,3.4451,Alpha
3.9876,3.4041,1.5162,Alpha
6.9129,3.7347,4.0582,Alpha
6.6401,3.4408,1.8946,Alpha
4.0982,3.7897,3.4943,Alpha
1.9266,2.4399,1.2108,Alpha
1.9707,0.9159,3.8105,Alpha
4.944,4.5248,2.9056,Alpha
1.399,4.8074,3.929,Alpha
3.5253,4.6367,4.4187,Alpha
5.0609,1.6775,2.3873,Alpha
4.2654,4.1612,5.1272,Alpha
3.2871,3.5963,4.3454,Alpha
2.2587,3.3492,1.7977,Alpha
4.216,3.0302,1.523,Alpha
4.6282,1.8211,4.1071,Alpha
1.7682,4.3996,2.3179,Alpha
4.2693,4.4888,3.7018,Alpha
3.5946,3.388,3.6924,Alpha
2.6727,2.64,2.4203,Alpha
2.6597,2.9175,4.2655,Alpha
4.7098,6.0642,3.8472,Alpha
4.9389,1.6344,2.4011,Alpha
2.1328,2.9347,3.1117,Alpha
3.5396,3.6755,4.2122,Alpha
3.4581,2.6495,2.9352,Alpha
4.3754,2.6749,2.3598,Alpha
5.4526,2.0792,2.3907,Alpha
3.5648,2.5374,4.1204,Alpha
2.357,5.9816,4.1423,Alpha
3.6142,2.782,2.9525,Alpha
3.7004,1.0262,4.0267,Alpha
5.8025,4.037,2.5181,Alpha
3.3458,1.3796,5.2054,Alpha
4.2355,1.8001,3.1276,Alpha
4.9561,3.7906,3.5733,Alpha
3.1819,5.2,3.0692,Alpha
2.917,4.9586,2.8922,Alpha
3.7446,1.3866,1.7775,Alpha
0.5051,2.9997,2.9623,Alpha
3.9595,1.2713,5.0308,Alpha
3.6118,1.8505,4.054,Alpha
5.1903,4.3934,1.5678,Alpha
3.6496,2.3886,3.5135,Alpha
4.9708,2.6841,3.2582,Alpha
4.1752,5.0853,5.3519,Alpha
2.375,0.9782,3.8737,Alpha
3.4935,4.1155,3.2884,Alpha
3.4869,2.6717,3.3138,Alpha
5.8399,1.4326,1.6043,Alpha
4.3835,2.5178,1.6198,Alpha
3.5781,3.9104,1.7361,Alpha
1.6809,3.8108,1.9643,Alpha
4.4564,2.6094,0.1426,Alpha
4.5444,2.5401,3.2128,Alpha
5.4188,4.7419,3.6456,Alpha
5.0749,3.4801,2.9477,Alpha
4.9507,2.1274,4.9177,Alpha
2.9898,1.3895,2.2354,Alpha
4.6512,3.9725,2.0881,Alpha
3.5001,3.5723,5.1159,Alpha
2.7401,2.567,2.5794,Alpha
4.171,3.2703,3.8368,Alpha
2.1057,2.599,2,Alpha
3.9846,1.8481,3.5585,Alpha
4.1825,3.1917,1.4056,Alpha
1.9992,3.8059,3.7689,Alpha
3.8449,5.3454,2.8587,Alpha
4.1206,2.5208,3.4609,Alpha
4.7313,5.2896,3.2187,Alpha
2.0639,3.258,2.6635,Alpha
3.7044,1.9204,6.1647,Alpha
4.047,4.8785,2.8637,Alpha
5.0276,1.6754,2.9926,Alpha
3.5162,1.8518,4.096,Alpha
2.0422,3.9976,1.7372,Alpha
3.4841,2.9257,2.3506,Alpha
3.891,4.5691,2.6546,Alpha
4.6771,1.5937,3.5067,Alpha
4.419,3.2994,2.8351,Alpha
2.9566,2.673,2.4751,Alpha
4.4773,2.8112,3.9028,Alpha
2.2934,2.4079,2.2705,Alpha
2.5739,1.8511,2.0217,Alpha
5.7267,1.0645,2.7505,Alpha
4.7647,3.7397,1.9794,Alpha
5.7457,4.693,2.4424,Alpha
4.2951,1.2985,4.6653,Alpha
2.5237,2.874,2.3559,Alpha
4.8466,3.3352,2.9831,Alpha
2.9791,3.3775,3.0973,Alpha
4.748,4.338,2.2744,Alpha
3.5059,1.6194,3.8399,Alpha
6.161,1.5837,1.817,Alpha
3.3427,2.5596,2.0568,Alpha
6.382,5.2205,3.4802,Alpha
1.0336,2.2114,2.7204,Alpha
2.903,1.6437,2.5953,Alpha
1.979,0.9513,3.6084,Alpha
5.3769,4.5617,1.4735,Alpha
2.7505,0.5816,1.297,Alpha
6.7574,6.2104,3.2878,Alpha
2.7139,5.3098,1.6918,Alpha
5.5357,0.4221,3.91,Alpha
2.9084,4.7822,3.1175,Alpha
1.6843,2.362,2.1151,Alpha
5.4594,2.4523,5.95,Alpha
1.3811,2.2826,3.1463,Alpha
4.5091,4.7901,5.0412,Alpha
3.5042,4.0841,2.9789,Alpha
4.9774,4.9573,3.0613,Alpha
3.7051,3.5356,4.5427,Alpha
3.9151,3.9093,3.5719,Alpha
5.6397,2.0104,2.6007,Alpha
4.0633,4.3956,3.982,Alpha
2.6893,-0.8202,3.5181,Alpha
5.3983,4.0953,2.6125,Alpha
3.8874,2.2843,1.0996,Alpha
3.5917,4.5232,4.0986,Alpha
3.9887,2.4076,2.8154,Alpha
3.2114,3.1304,5.2139,Alpha
2.602,3.1393,3.2825,Alpha
3.2234,3.802,1.2153,Alpha
2.8229,3.9018,2.1724,Alpha
2.8457,2.6597,2.5942,Alpha
4.8133,1.1631,2.1854,Alpha
4.4313,2.736,2.8558,Alpha
3.1441,3.2925,1.6135,Alpha
3.6629,2.6451,4.0291,Alpha
5.1171,3.0753,0.25,Alpha
3.563,1.9746,1.5149,Alpha
3.0495,2.9015,4.1332,Alpha
5.5411,5.6544,5.9736,Alpha
3.1663,4.3126,2.4557,Alpha
2.9127,2.4928,3.38,Alpha
4.1475,3.8644,1.8826,Alpha
4.7347,3.3893,1.867,Alpha
5.9383,4.8516,3.3847,Alpha
4.1304,5.0901,1.486,Alpha
4.1649,3.2651,3.9946,Alpha
3.3892,3.4117,2.3325,Alpha
2.864,3.6585,-0.0004,Alpha
4.7461,3.8458,3.169,Alpha
6.2171,1.3343,5.6476,Alpha
1.6986,1.0873,2.5353,Alpha
3.43,4.3845,4.0533,Alpha
3.6407,4.0133,2.2687,Alpha
1.3313,2.9734,3.534,Alpha
2.7254,3.0362,3.0853,Alpha
2.5139,2.6922,3.41,Alpha
4.2077,3.1935,3.023,Alpha
4.3266,3.9038,3.9729,Alpha
2.3027,5.866,3.5539,Alpha
4.0739,1.3373,5.0438,Alpha
5.787,2.3002,3.4031,Alpha
3.8193,0.4147,4.0325,Alpha
3.2409,5.2969,0.7652,Alpha
3.5672,2.6565,5.5996,Alpha
4.4174,2.5139,4.0557,Alpha
2.2601,3.9175,2.1602,Alpha
2.1213,3.5734,2.4082,Alpha
2.8932,4.8527,3.0857,Alpha
4.7671,5.7835,3.9284,Alpha
4.4997,2.8481,3.1885,Alpha
5.7476,0.8898,1.9851,Alpha
2.851,2.8442,5.2659,Alpha
3.1961,0.1566,3.919,Alpha
5.0601,3.6296,3.8174,Alpha
6.2432,5.4311,3.4187,Alpha
3.8943,5.4445,2.7477,Alpha
4.7565,1.7911,3.3277,Alpha
5.8209,1.5355,3.9699,Alpha
5.2775,3.6027,2.7531,Alpha
2.0299,2.4447,2.8634,Alpha
5.8786,3.9816,2.6727,Alpha
1.9511,3.4437,4.5051,Alpha
4.0965,0.7081,4.6221,Alpha
3.1076,2.8947,2.7128,Alpha
3.2949,4.8855,0.9199,Alpha
5.7659,4.886,0.9898,Alpha
2.792,4.256,2.6202,Alpha
4.3439,2.9195,3.5185,Alpha
2.7743,1.9217,3.4618,Alpha
2.9138,3.18,3.7114,Alpha
2.6643,3.0342,3.0776,Alpha
3.2373,2.9333,3.3696,Alpha
4.106,2.8603,3.0906,Alpha
4.6391,3.7747,2.8928,Alpha
5.1926,4.7242,3.6529,Alpha
6.9267,4.541,2.7598,Alpha
6.2563,2.3174,3.045,Alpha
2.2162,4.4246,3.2655,Alpha
2.6641,2.7201,2.4373,Alpha
4.2387,3.4531,1.4663,Alpha
3.1199,3.816,3.9735,Alpha
4.2888,1.775,4.6999,Alpha
2.5847,3.224,3.9739,Alpha
2.292,2.2678,-0.4667,Alpha
3.8602,4.686,3.561,Alpha
4.6966,3.1579,2.2263,Alpha
6.3888,3.7103,3.4606,Alpha
1.0796,3.245,2.9968,Alpha
4.9883,6.1167,3.1268,Alpha
4.0341,2.4424,3.7994,Alpha
4.7977,3.4642,3.7989,Alpha
3.7971,2.7834,1.6239,Alpha
6.1466,4.8555,2.9454,Alpha
3.4467,2.8216,2.6313,Alpha
6.74,2.4879,1.4902,Alpha
4.3698,1.9901,2.9821,Alpha
4.8691,1.6483,3.1512,Alpha
1.423,4.6342,2.4275,Alpha
5.7066,4.8942,2.9872,Alpha
2.4225,4.1549,3.2298,Alpha
6.891,2.3208,4.1655,Alpha
5.5067,2.1403,2.7745,Alpha
5.1663,0.9609,2.9585,Alpha
1.1424,4.5723,1.1818,Alpha
3.8147,2.5864,4.0635,Alpha
3.1639,3.9054,3.4469,Alpha
4.2382,5.3601,2.8356,Alpha
6.2603,2.6876,2.1234,Alpha
3.642,1.8165,3.5623,Alpha
5.375,1.0749,1.4849,Alpha
2.9306,2.7506,3.4474,Alpha
3.319,4.3737,3.0269,Alpha
2.5925,1.9914,2.2549,Alpha
3.0359,4.2865,2.8814,Alpha
2.4118,3.0807,2.4714,Alpha
3.7239,1.9721,2.419,Alpha
5.441,4.5014,4.1479,Alpha
4.7668,3.4162,4.9606,Alpha
6.3409,3.48,3.7393,Alpha
3.1537,0.9976,2.4742,Alpha
4.4268,3.7546,2.4479,Alpha
3.8809,2.1009,3.2258,Alpha
5.7456,1.637,2.9485,Alpha
4.9641,2.6992,3.4597,Alpha
5.4294,4.2157,1.6502,Alpha
3.0542,3.5043,3.8218,Alpha
4.619,5.8573,3.6872,Alpha
4.8095,1.8702,1.8857,Alpha
6.1144,2.2403,1.5612,Alpha
4.4056,2.8441,1.3589,Alpha
4.3824,2.256,0.9353,Alpha
3.0591,2.5663,3.3072,Alpha
3.4917,1.7985,2.9028,Alpha
4.9308,3.637,2.1434,Alpha
5.852,2.6323,2.3683,Alpha
3.7898,1.2908,4.3666,Alpha
5.0651,1.7209,1.9372,Alpha
5.8033,-0.1064,2.969,Alpha
4.9126,-1.1443,4.6019,Alpha
2.9625,3.7654,3.1801,Alpha
3.8787,3.13,2.8224,Alpha
2.3595,4.8975,3.3502,Alpha
6.2351,2.8416,3.4131,Alpha
5.9126,2.6948,0.5296,Alpha
4.1931,6.6152,2.4143,Alpha
3.2403,2.9803,2.6657,Alpha
3.7838,2.0138,3.0133,Alpha
4.6527,1.2895,2.2489,Alpha
4.4035,1.6272,3.3483,Alpha
2.434,2.8421,3.7082,Alpha
2.1662,2.6219,2.61,Alpha
3.1603,0.2776,4.0013,Alpha
2.867,2.7196,2.2387,Alpha
4.8295,1.9536,2.9001,Alpha
2.6202,3.9267,2.6472,Alpha
2.7354,3.8222,2.0896,Alpha
3.4212,2.3405,3.5106,Alpha
2.3029,3.8252,2.5454,Alpha
2.2277,2.4357,2.3129,Alpha
4.5609,4.0548,2.3652,Alpha
4.9095,4.1643,3.0025,Alpha
3.7369,3.2137,1.1714,Alpha
4.1136,2.6664,1.506,Alpha
3.4362,2.9948,4.3063,Alpha
4.678,6.7273,3.9167,Alpha
3.9076,1.7327,1.9277,Alpha
5.6784,2.2405,3.609,Alpha
4.0976,3.3754,4.2594,Alpha
4.5439,3.3452,0.7613,Alpha
2.9584,2.8418,-0.0361,Alpha
4.7376,4.3975,4.2298,Alpha
2.898,1.2086,2.2052,Alpha
5.4383,1.5554,1.4697,Alpha
3.8042,3.8229,2.6318,Alpha
3.334,2.4962,1.82,Alpha
3.8982,4.3568,2.9355,Alpha
1.6559,3.6298,3.5429,Alpha
3.2038,4.675,2.086,Alpha
5.658,5.2342,3.3983,Alpha
3.2647,1.5549,2.4472,Alpha
4.1384,3.4112,2.4635,Alpha
4.2724,5.0842,3.2734,Alpha
6.0164,0.5184,3.945,Alpha
2.4177,1.6891,2.065,Alpha
5.45,0.9085,3.3621,Alpha
4.3359,3.7922,2.8945,Alpha
2.0791,3.4486,4.0436,Alpha
3.5254,2.7897,1.1125,Alpha
2.3078,2.7586,0.5955,Alpha
5.1416,3.3734,2.9477,Alpha
3.2759,1.8102,1.1352,Alpha
4.9929,2.4102,4.8345,Alpha
4.5155,2.639,5.9288,Alpha
3.562,1.4405,3.0606,Alpha
5.3602,2.8746,4.0924,Alpha
5.2836,2.8574,3.0241,Alpha
4.9912,5.9,1.6137,Alpha
4.4295,4.4082,2.6149,Alpha
4.7855,2.486,3.4657,Alpha
3.3833,3.1318,1.7342,Alpha
5.6664,2.1994,3.7431,Alpha
1.9454,2.788,3.9774,Alpha
5.8309,1.6363,2.5697,Alpha
2.9648,1.8341,3.9682,Alpha
5.3675,5.5324,2.971,Alpha
4.5026,2.1721,3.8868,Alpha
2.8664,4.8186,2.5116,Alpha
4.746,3.2003,3.3705,Alpha
3.8148,2.3535,4.3779,Alpha
5.4719,4.8541,3.9479,Alpha
5.4733,4.7679,4.8951,Alpha
4.7433,4.0682,5.4574,Alpha
3.1809,3.036,2.2075,Alpha
3.4033,1.1281,2.71,Alpha
2.6443,4.8049,3.6098,Alpha
3.2294,3.4874,3.283,Alpha
3.6716,2.0227,3.3802,Alpha
3.8683,2.285,2.014,Alpha
6.3264,2.5893,4.7079,Alpha
2.0235,3.9129,3.7312,Alpha
1.8243,4.2385,3.4797,Alpha
4.1678,3.6042,2.0495,Alpha
6.2325,5.215,0.52,Alpha
4.1979,-0.9567,2.6791,Alpha
3.559,1.8247,3.1348,Alpha
2.3402,1.3334,2.2395,Alpha
3.1868,2.1631,3.5115,Alpha
4.9956,2.9613,1.8219,Alpha
4.2636,3.0395,2.2643,Alpha
5.3728,1.792,3.4791,Alpha
5.3235,4.6223,5.054,Alpha
5.3876,3.26,4.1963,Alpha
2.1237,2.979,3.0272,Alpha
5.8153,4.0994,2.0956,Alpha
5.4607,3.4891,2.6252,Alpha
5.4519,2.3004,3.0901,Alpha
3.2967,0.288,3.0903,Alpha
5.5633,3.9407,2.5307,Alpha
4.3006,3.7409,2.5624,Alpha
5.4534,1.2264,0.0158,Alpha
2.9453,2.4468,2.3543,Alpha
3.5881,2.7772,2.9255,Alpha
4.5715,2.0157,3.6545,Alpha
2.4458,2.3788,3.7219,Alpha
1.6389,4.2408,3.1519,Alpha
5.5968,2.6105,2.983,Alpha
6.0023,5.4485,3.672,Alpha
4.0886,5.696,1.5296,Alpha
4.6876,3.1399,2.1848,Alpha
5.8469,5.4196,4.3524,Alpha
6.0206,5.8719,2.9003,Alpha
3.756,1.6271,3.0276,Alpha
5.5586,3.8771,2.2641,Alpha
5.874,3.7269,3.1542,Alpha
5.7619,0.4282,4.0003,Alpha
5.0447,4.2952,5.3986,Alpha
2.4567,3.8651,5.3384,Alpha
4.435,6.0987,3.9317,Alpha
5.152,0.0295,4.369,Alpha
5.6049,5.1997,2.8665,Alpha
3.4078,5.5384,5.9613,Alpha
5.2645,2.7072,3.0631,Alpha
3.109,2.229,2.9959,Alpha
4.3424,5.0669,0.809,Alpha
2.9876,2.2344,2.3176,Alpha
5.265,4.617,4.4058,Alpha
5.9714,3.1531,3.6432,Alpha
3.2672,2.8862,0.7519,Alpha
5.217,4.8244,4.3436,Alpha
4.317,1.1004,2.6822,Alpha
5.0868,3.7903,1.4077,Alpha
2.0563,0.6918,3.1063,Alpha
3.1574,1.6089,2.9836,Alpha
3.6084,2.0079,4.4149,Alpha
4.6877,2.0886,2.4004,Alpha
4.1386,0.2908,3.7471,Alpha
4.863,4.128,3.6594,Alpha
4.0354,4.584,4.7169,Alpha
3.922,2.3493,0.9219,Alpha
4.4547,5.7831,3.1478,Alpha
5.3128,-0.1565,3.5088,Alpha
2.6498,2.9815,2.4351,Alpha
3.3867,1.3424,4.1287,Alpha
3.3821,3.6981,2.5603,Alpha
4.0463,1.4458,2.5686,Alpha
5.7379,1.8576,2.8348,Alpha
2.0786,2.1001,2.6057,Alpha
4.3824,4.2797,2.988,Alpha
5.2962,4.0268,4.7752,Alpha
2.3531,2.0095,2.4306,Alpha
4.2936,1.8865,4.0731,Alpha
1.3658,2.1319,3.4618,Alpha
4.1547,2.159,2.7375,Alpha
2.1689,2.0046,2.0471,Alpha
3.4392,1.6553,2.5615,Alpha
5.248,3.8008,3.3302,Alpha
5.0969,3.6161,2.2334,Alpha
3.1416,1.8904,1.3254,Alpha
5.9917,1.8742,2.1495,Alpha
5.9515,1.1576,3.522,Alpha
6.0597,4.4547,2.7384,Alpha
5.2723,4.6484,3.8394,Alpha
4.5672,4.0031,2.7356,Alpha
2.8639,4.9181,2.5859,Alpha
4.3663,1.659,2.84,Alpha
6.2238,1.5925,2.1093,Alpha
4.9486,2.4564,0.8691,Alpha
2.3897,2.6473,3.1056,Alpha
3.7466,4.1439,3.5035,Alpha
5.8485,1.8365,1.7828,Alpha
4.4348,4.7565,3.404,Alpha
0.6104,4.1545,5.3285,Alpha
3.5251,2.3806,5.6195,Alpha
6.0347,1.8918,2.591,Alpha
3.8037,4.8054,3.4079,Alpha
2.326,3.2861,1.13,Alpha
2.7115,3.82,3.0771,Alpha
3.3785,1.8554,2.6209,Alpha
2.1597,2.2636,2.423,Alpha
2.8788,4.2198,2.889,Alpha
5.0446,3.8197,3.505,Alpha
3.5029,2.804,0.949,Alpha
5.0719,3.3546,3.1838,Alpha
3.3744,2.443,2.6902,Alpha
3.9565,3.9977,3.5396,Alpha
5.7801,3.2259,3.3483,Alpha
3.959,3.482,2.1917,Alpha
3.337,0.225,3.9545,Alpha
3.847,1.4923,5.1457,Alpha
8.2229,2.2816,2.8988,Alpha
5.081,2.9849,3.4236,Alpha
2.8853,2.8019,2.7776,Alpha
4.1932,2.7345,4.172,Alpha
4.2843,2.6692,3.8762,Alpha
4.0908,4.3187,1.832,Alpha
2.7341,3.0105,3.4867,Alpha
3.806,4.2628,3.0603,Alpha
2.5376,3.7829,1.8691,Alpha
2.782,4.9505,1.3022,Alpha
5.7263,0.8321,3.1457,Alpha
4.7431,2.6643,3.1428,Alpha
6.0536,3.0106,1.4654,Alpha
2.699,3.1869,3.2103,Alpha
7.0156,4.9735,1.7296,Alpha
3.3237,1.891,3.8809,Alpha
1.7434,3.7297,2.5655,Alpha
3.6419,2.1622,4.0584,Alpha
3.7822,1.0676,3.3147,Alpha
3.9073,3.9208,1.6305,Alpha
