x,y,z,intensity
1.0019,-1.8338,-1.2232,0.45848
-4.3728,-5.7809,0.2279,0.16839
-2.6435,0.7289,1.0289,0.92286
1.6718,-2.3401,-1.383,0.47112
-1.8096,-8.0391,-0.326,0.11649
-3.1307,-3.2155,-0.1289,0.46804
-3.2067,6.5946,0.6608,0.19742
-4.0319,-7.8757,-0.7088,0.12618
6.6128,-2.6996,-0.1291,0.16994
-7.056,4.2613,-0.1577,0.07706
-5.8393,-0.3107,-0.9457,0.21123
-2.446,-1.4241,0.3966,0.77574
-0.1478,-0.3193,-3.7289,0.69555
-4.8485,-6.3283,0.1605,0.10954
6.725,-2.8033,0.1557,0.17365
-8.9581,1.4406,-0.0444,0.08907
-6.3875,-3.5916,-0.5331,0.11404
8.1216,3.7385,-0.1473,0.0804
3.2727,4.3325,-0.1944,0.15162
-3.173,-9.2763,0.1444,0.13034
8.218,-0.1054,0.25,0.11515
-7.0776,3.911,0.0081,0.12109
-6.255,-2.4066,0.0126,0.26267
7.6116,-3.3372,0.0561,0.09794
1.414,6.543,-0.0277,0.08011
-5.0167,2.1398,-0.2919,0.19916
7.1931,3.2863,0.2721,0.14666
-5.1868,5.7118,0.1914,0.15387
-2.8402,-7.2501,-0.3985,0.16426
6.8204,5.0106,0.433,0.09696
-6.6877,5.358,-0.4726,0.13697
-1.5052,3.4584,-0.0347,0.41179
3.7077,-4.3306,0.0231,0.27282
3.2124,5.8284,-0.4223,0.32327
-4.9158,2.4861,0.0709,0.15292
5.7929,-4.0616,-0.1677,0.2096
0.8147,7.2742,-0.0669,0.16076
0.4214,0.0871,2.5354,0.64534
-1.9728,-0.7284,1.4481,0.57382
-0.5682,7.3041,0.19,0.1365
-6.4045,-3.8474,-0.5422,0.18566
3.1258,-4.5187,-0.2634,0.31086
4.3879,3.1351,0.1011,0.35262
1.7948,-0.4586,-0.7857,0.74661
7.6526,4.2012,-0.689,0.10731
0.0309,6.8595,-0.0645,0.19856
-6.0385,-6.06,-0.0467,0.16605
7.6039,4.1402,0.0184,0.1005
4.8971,3.5335,0.1494,0.311
-4.05,2.9427,0.2447,0.35351
-0.2759,-5.5897,-0.8409,0.35433
-4.0191,6.6835,0.1601,0.15441
3.3468,-9.2361,-0.3086,0.10393
4.294,-4.3995,0.2423,0.172
2.1081,-1.5727,0.2637,0.3302
-1.9794,-7.174,-0.55,0.05844
2.4662,-5.0755,-0.0461,0.20158
4.3388,0.5497,-0.827,0.31827
-2.8907,-6.4328,0.0878,0.14105
2.6997,-5.3862,0.669,0.38709
2.7207,5.0152,0.0082,0.24217
-4.8179,-6.571,-0.3739,0.14677
8.0694,3.8902,0.0062,0.09212
1.2952,-1.6598,-0.6029,0.59496
2.6438,-9.5662,0.1533,0.12561
-2.5901,-0.9179,-0.9769,0.57766
-0.0937,6.6561,-0.3041,0.19361
1.5331,2.1906,-1.4066,0.37316
5.9619,-2.5417,0.1182,0.17168
-6.7046,4.5771,0.2477,0.07006
1.5593,0.8626,0.2681,0.75779
1.0197,-5.0694,-0.4829,0.4179
-8.9653,3.0675,0.1625,0.1213
-4.7067,-7.0553,-0.4439,0.13325
-1.0618,-4.3233,0.5746,0.40628
-6.7107,3.7951,-0.4505,0.09676
-6.8177,-1.7118,-0.3126,0.17244
-0.6051,0.9768,-1.0253,0.94082
-3.2749,6.6895,-0.195,0.10082
-6.7115,-2.2302,0.3304,0.23553
6.0741,-3.0892,0.276,0.19693
5.037,3.5168,-0.3316,0.22407
-3.816,3.469,0.0841,0.29647
-2.7313,0.1097,-0.4053,0.23704
2.4976,-2.4366,-0.1768,0.65869
-6.0942,-3.3093,0.6464,0.17546
5.3046,-5.1958,0.0176,0.20661
-6.511,6.391,-0.2863,0.10043
0.5849,3.2649,-0.359,0.38365
-0.1558,-4.3565,-0.4022,0.37226
3.4819,5.9609,0.0846,0.15237
-6.8192,-0.6114,0.2589,0.28473
8.5326,2.8837,0.0746,0.0944
2.7288,-1.7357,0.8646,0.35033
-0.0187,-8.9334,0.1106,0.05778
2.4024,-5.67,0.5019,0.1578
-3.5943,7.9546,0.2552,0.16077
1.9967,-9.3083,0.0851,0.16361
-2.2737,-0.3432,-0.147,0.57274
3.4821,-0.0516,0.08,0.38852
-6.6016,-4.0553,-0.1534,0.13852
-2.079,-2.7734,0.0937,0.44968
-6.4476,5.6996,-0.0091,0.17925
0.0676,2.9038,1.2376,0.51093
8.5945,3.9493,-0.3321,0.12729
-0.5261,7.6798,-0.2353,0.20991
0.7263,-10.1742,0.1092,0.14774
0.7917,-4.0603,-0.1613,0.38435
-3.8054,6.9737,0.3972,0.09919
-2.2003,2.5021,0.5156,0.54976
4.3175,-4.9813,0.0538,0.24297
-3.1784,6.9668,-0.1042,0.139
-0.7724,2.8682,0.9369,0.58339
-0.3862,0.1537,-0.6208,0.6938
2.2661,-1.2672,0.1019,0.54396
-5.6751,-4.0401,0.0349,0.1684
6.4728,-3.0112,0.3525,0.17233
-2.1806,7.1561,-0.6893,0.172
-4.5452,2.1663,0.7505,0.2176
7.3713,-1.448,0.1715,0.17986
2.8391,-2.1807,-0.9692,0.61775
0.3097,2.0549,0.2474,0.2877
7.5348,2.6472,-0.2973,0.06964
2.4625,4.9375,0.3614,0.34361
-5.8825,-3.2322,-0.5585,0.09179
-1.7949,-4.347,-0.0816,0.43099
0.4582,6.6995,-0.0398,0.16545
-0.1741,1.7957,0.6249,0.31706
7.1663,-2.3111,-0.0969,0.17626
2.2915,-1.7266,-0.4878,0.39249
-6.2555,-0.7853,0.0642,0.21853
-1.8227,-0.2415,0.1404,0.50088
-5.8506,5.8003,0.1995,0.10986
2.1869,-8.8219,-0.0244,0.10056
1.2424,-5.7045,0.1169,0.208
4.1689,2.4714,0.1733,0.23516
-5.9414,-3.8611,-0.094,0.18612
5.9112,-3.4452,0.5316,0.2182
3.7169,5.2025,-0.1107,0.21177
-5.1273,-4.0484,-0.2393,0.17382
8.1978,4.1841,-0.4832,0.1136
3.8578,-2.0245,0.3273,0.48574
0.4556,-9.4502,-0.0311,0.10811
6.7935,-2.1571,-0.0369,0.19079
3.7396,4.9363,0.1709,0.32248
-1.8198,-9.1705,-0.4315,0.10162
-0.6195,-5.7941,0.5345,0.3011
4.2592,3.6814,0.2197,0.24865
-1.2775,-7.3037,-0.0451,0.16346
-0.4375,-4.6845,-0.6819,0.27703
2.1624,-1.2462,0.4924,0.47187
-6.8472,-3.1353,-0.112,0.23813
7.9092,5.0422,0.2673,0.11275
-3.3085,6.893,-0.0064,0.15225
-0.5353,-8.2838,-0.5974,0.12976
-2.137,-1.3565,-1.8066,0.33193
3.9928,-0.7732,1.0149,0.42327
-5.1636,-6.1835,-0.2153,0.1254
9.1668,3.727,-0.3855,0.14618
3.2106,5.2376,0.8679,0.14588
-2.6486,3.2179,0.6078,0.42638
-0.8101,-4.0061,-0.0441,0.44555
3.6379,4.0673,0.8997,0.27037
-4.9185,1.8634,-0.4167,0.22795
8.0515,2.8819,-0.067,0.14237
3.339,-0.4985,0.8232,0.46478
-3.0668,3.1839,0.2124,0.37068
5.8158,-4.2356,0.0023,0.28565
4.6063,1.0394,-0.3852,0.40985
-2.8988,3.0991,-0.7541,0.40512
5.8479,-2.2133,-0.4113,0.10786
3.2913,6.2893,0.2035,0.25071
-3.628,2.9318,-0.6889,0.19479
-1.5311,-0.5648,1.3802,0.57629
3.939,3.3235,0.1453,0.24392
-5.932,1.4534,0.4782,0.10383
1.0524,-5.4264,-0.146,0.12127
-0.5033,-1.7401,0.4275,0.73347
2.7753,-9.1312,0.0979,0.0906
-2.3544,-0.64,-0.4227,0.50562
-3.1354,7.0804,-0.2641,0.14207
-2.3385,-7.9468,-0.1069,0.18251
8.1372,1.3204,-0.2901,0.11417
-9.7713,3.7312,0.0884,0.12385
0.7834,-0.1982,-1.6889,1.20127
-2.3725,-2.8435,0.2273,0.35139
2.9783,-1.4835,-0.0041,0.38157
-3.3028,3.6657,0.1973,0.43086
1.2284,-5.3664,-0.3938,0.22881
0.3429,-1.3135,0.5731,0.55369
-3.9667,-6.7163,0.0359,0.13455
6.4291,5.2923,0.1491,0.10944
3.3224,5.9327,-0.5481,0.1054
-4.3204,-6.318,0.227,0.14216
-2.3403,-0.1256,0.2322,0.5031
2.0836,-2.1877,0.4754,0.49873
-2.8041,3.687,-0.0806,0.23616
5.3223,-3.666,0.3297,0.14342
-3.4716,6.334,-0.2821,0.13255
-4.0807,-5.8703,-0.0697,0.1235
3.7934,-4.6783,-0.5706,0.19036
-5.7693,6.343,0.413,0.10634
-5.8604,-0.3152,0.2904,0.29925
-3.2064,-0.8472,-0.2328,0.5532
0.3267,-1.4006,-1.1004,0.95052
-6.192,-2.9127,-0.3959,0.27693
-0.3441,0.9274,0.1324,0.9461
3.4614,-0.4181,-0.3851,0.38812
-6.1795,-4.4103,-0.0753,0.22162
6.8135,-1.8036,0.2716,0.22627
4.2802,4.0863,-0.6292,0.2306
0.3118,-9.2927,0.2929,0.14626
5.8629,-2.9816,-0.086,0.14198
4.2654,5.0876,-0.1259,0.18297
-3.2611,-6.8003,0.1005,0.09797
6.0862,4.6897,-0.0024,0.13203
0.2867,-1.5833,-0.0263,0.71582
-0.895,-8.3345,0.0531,0.1316
7.1305,4.448,-0.3735,0.07287
4.0122,5.4337,0.408,0.22648
-0.8507,4.2277,0.0843,0.20899
-1.2532,-0.3995,-1.2993,0.81961
4.0834,3.4414,-0.3021,0.28936
-6.0903,0.7601,0.4589,0.2144
-1.3901,-0.0138,1.6737,0.46922
2.1682,6.9514,-0.1037,0.23646
0.2823,0.0967,0.1202,1.21332
-2.245,-2.7589,0.1394,0.55921
2.477,5.9583,0.0328,0.22054
1.139,1.5688,-1.7579,0.66131
8.4018,-3.1793,0.4005,0.12
-8.9828,2.0101,-0.176,0.10175
-4.8938,2.4569,-0.0554,0.20809
-2.4735,0.3783,-0.4872,0.61695
-0.0859,6.9175,0.3925,0.23794
-7.2805,-1.7409,0.5506,0.26684
-0.2411,0.8246,0.7389,0.65829
2.2651,6.7176,0.108,0.09054
-6.5018,-3.3355,0.0181,0.23977
1.9502,-5.6974,0.6594,0.30247
4.1105,-0.3233,-1.3376,0.50098
-0.4755,1.9542,-0.0251,0.26479
-0.754,-4.8009,0.3031,0.15561
3.8212,3.2282,0.5599,0.25276
1.1755,0.0001,0.6406,0.67696
1.1733,-5.8243,-0.2331,0.20931
-0.1797,-1.1474,0.863,0.72199
0.7382,-9.1389,0.1534,0.07978
8.3914,1.2626,0.0572,0.09073
0.9933,-1.333,0.2858,0.79773
-3.9901,-6.1816,0.1415,0.12583
8.1563,-0.4897,0.1658,0.1413
-5.9886,6.1598,0.2469,0.08793
1.3276,-0.0705,1.0171,0.74463
1.6046,-4.9975,-0.5458,0.20349
-6.7845,6.2387,0.2616,0.06748
-0.6027,-10.1997,0.3071,0.08917
-2.1319,-2.1646,-1.5429,0.43805
4.4062,3.8791,-0.3676,0.3268
-3.6907,-6.6825,-0.1258,0.15238
8.4643,3.2965,-0.0716,0.08649
-0.3032,-0.2903,-2.5898,0.77763
1.7646,-9.4376,-0.0111,0.08422
9.0778,1.9424,0.484,0.11985
-1.4537,8.7824,-0.5134,0.15496
-5.4915,0.3603,0.169,0.24219
7.5706,4.5043,0.046,0.07758
3.0404,5.2276,0.0392,0.29863
1.2565,-9.4586,0.0487,0.04828
4.7903,-4.8531,0.1459,0.20335
-8.8677,1.9641,0.0985,0.12083
-6.2983,-2.2737,-0.269,0.10663
8.8504,4.2521,-0.0956,0.09213
-2.5774,7.0905,-0.0939,0.13837
-5.9844,0.4701,-0.2356,0.36331
5.2696,6.7088,0.0288,0.08593
-6.678,5.814,-0.2983,0.14435
-0.0663,-8.2875,0.0544,0.12129
1.7126,-5.0325,0.3714,0.36723
-0.7103,-0.7388,-0.4886,0.4225
1.5859,1.4299,-1.5618,0.75533
-0.8694,-4.2443,-1.3908,0.3119
4.5396,2.3084,-0.1665,0.18244
-6.6366,-3.2243,0.1563,0.21611
-2.0018,0.5074,1.5357,0.68457
4.0492,3.1845,0.2598,0.28583
-3.6951,3.1979,-0.2359,0.26154
7.5724,-2.046,-0.3771,0.12487
2.0858,-1.5797,1.5068,0.49811
1.683,-9.0793,-0.16,0.08801
7.29,-2.1239,-0.2355,0.09485
3.6872,3.3037,0.5582,0.27287
-2.6306,3.0395,0.6136,0.35061
-2.8743,0.1306,0.0763,0.46105
-7.8617,4.8696,0.0997,0.08229
-2.8031,-7.683,0.2216,0.0811
6.8536,5.6979,0.0654,0.07553
3.4915,-0.9098,0.4993,0.33404
1.2737,0.8179,-0.618,0.77947
-1.3276,0.8329,-1.0859,0.91262
1.2724,6.9267,-0.0841,0.21985
-0.5701,4.1976,0.1816,0.3165
7.5418,5.2579,-0.0511,0.08255
-7.9641,2.4801,-0.0666,0.09742
0.3995,1.7067,-0.7272,0.66643
-2.5728,-1.3236,-0.1303,0.68692
-1.2663,-1.1162,-0.251,0.9317
0.0455,3.0201,0.5426,0.34648
-0.5593,-5.4338,0.7192,0.1932
-2.2208,7.2577,0.3476,0.19622
-5.3669,1.3241,0.1372,0.27082
-3.0611,-0.4221,-0.6635,0.5755
-4.0834,6.7595,-0.3251,0.17499
-3.5035,3.1625,0.7548,0.26364
0.0814,-4.9805,-0.0423,0.28457
-8.8371,5.2829,0.1871,0.09286
-1.8381,-7.5377,0.0209,0.10713
1.3684,-5.3247,0.0129,0.34433
2.1444,-0.9354,0.5579,0.82927
-4.3782,1.832,0.274,0.30441
7.8295,0.2233,-0.1291,0.11373
-5.4428,6.002,0.4037,0.12719
0.7429,1.827,-0.4292,0.41788
-0.1203,-5.2105,-0.2242,0.23424
-5.7565,8.0793,-0.0286,0.15953
-5.9755,-3.8888,-0.0534,0.19595
3.9256,-5.366,0.1035,0.10785
-9.1389,2.1609,0.0619,0.08384
-5.2932,-6.4753,0.1572,0.16764
8.7837,3.4259,0.0603,0.08716
-4.9403,6.3981,0.1075,0.097
-5.0229,0.6065,0.2723,0.16841
-2.0887,-0.6028,1.5056,0.26494
-8.5602,2.4183,-0.0992,0.08655
-0.0919,-8.6225,0.2138,0.066
-0.5847,-4.3109,-0.9569,0.34326
1.8459,6.5492,-0.5884,0.14183
0.9453,-8.3492,-0.2508,0.09669
8.3753,-1.9142,0.4054,0.21104
3.8645,2.6778,-0.759,0.33462
1.0109,2.2912,0.9422,0.34423
7.5901,-1.3901,0.2746,0.17576
2.7563,-2.1725,-0.2245,0.4538
-5.004,-4.6525,-0.0044,0.15475
7.4637,-3.5388,0.2277,0.1508
-8.1888,4.7902,0.1325,0.0735
-4.5724,-5.0339,0.0543,0.09797
3.2413,-5.4987,0.368,0.16132
2.649,5.9992,0.3026,0.15293
-0.1474,2.1603,0.9853,0.73261
6.88,-1.4739,-0.1257,0.21202
-7.2257,6.425,0.1156,0.09518
-0.6107,-9.5552,-0.1533,0.07619
-3.247,-2.3199,-0.3223,0.50319
-3.9481,6.448,0.0615,0.04144
-5.2032,2.0705,0.3177,0.13387
-0.0189,0.3124,1.7865,1.49155
-9.1147,1.7896,-0.3401,0.13703
-2.5221,-7.3221,-0.1731,0.12087
3.83,-5.1098,-0.1064,0.21925
-6.8156,6.6246,0.0146,0.06681
1.2651,0.9364,0.9548,0.77331
6.1009,-3.4183,-0.1937,0.22022
0.4878,7.4689,-0.029,0.09717
-0.4686,-8.3797,0.166,0.10812
-1.7108,0.4806,0.1746,0.41661
3.7878,-0.3077,0.1061,0.26776
-5.6541,-1.8243,0.2012,0.18554
7.7669,0.1434,-0.1124,0.12494
2.5887,-1.6481,-0.626,0.38296
0.5989,-9.3471,-0.3795,0.11738
-2.6643,0.7754,1.3047,0.33605
-7.5269,4.3204,-0.1092,0.08119
-5.6084,0.8231,0.427,0.24462
8.8576,-0.2064,-0.2318,0.14095
0.2782,-2.3015,0.3451,0.61526
0.6421,0.5648,-1.4876,1.34369
-1.152,0.8034,-0.2465,0.42709
0.0097,6.9225,-0.3496,0.19296
-0.7707,2.9843,-0.3063,0.34934
7.1666,-2.4973,0.0866,0.09783
1.1093,7.4112,-0.6438,0.04961
-5.6642,0.2847,-0.4224,0.2886
-2.4617,-0.3246,1.2767,0.42351
-8.5046,2.1172,-0.2316,0.09903
-5.8619,-1.1623,-0.1439,0.27351
8.8031,2.2935,-0.1547,0.10598
-8.8555,1.4829,0.2979,0.11522
-6.5846,-3.1046,-0.4163,0.21522
-2.3293,-2.3528,0.2276,0.3361
0.8128,-1.2716,0.8378,0.52199
1.3308,1.1082,0.4865,0.6192
-2.6896,-2.8317,-0.7558,0.44112
3.5398,4.5296,0.2493,0.24714
-0.1174,3.0077,-0.4212,0.56596
7.3416,-0.4913,-0.3985,0.13569
-8.7589,3.1647,-0.1358,0.10832
-3.0637,-7.6568,-0.1468,0.09825
4.7635,-4.1868,0.1947,0.13053
0.8581,-1.7759,-0.5386,0.50985
-4.705,-4.9626,0.1173,0.12812
6.1658,-3.5729,-0.0674,0.18206
-9.422,3.3408,0.0974,0.10853
-2.1107,-9.1274,-0.1421,0.1459
-2.0199,-0.1913,-0.9879,0.61114
-0.3088,-0.2949,-0.5465,0.77231
-5.5855,-3.2535,0.0156,0.18048
2.6816,-5.4728,0.6292,0.23318
-7.2483,4.3538,-0.0461,0.13989
-5.2002,-4.9666,0.0299,0.12225
-1.3778,0.1371,0.3813,0.63268
-5.1278,7.0878,-0.0033,0.17712
-7.0224,0.1236,0.4611,0.16045
8.1693,-1.4339,0.1085,0.12501
-3.1013,6.95,-0.3623,0.12914
-4.1411,-7.2901,0.1098,0.17026
6.2694,6.4701,0.1305,0.09737
2.4656,-1.9712,0.1175,0.50329
-5.8002,2.1149,-0.3977,0.32212
3.9558,-5.5052,0.1736,0.21368
-4.2338,6.1725,0.2607,0.17396
-4.8763,1.4429,0.5926,0.34951
4.7954,-3.0745,0.3042,0.18559
4.136,-0.1447,0.0243,0.48458
